country,rating,value
Belgium,veryhard,9.3
Belgium,hard,12.2
Belgium,somehard,17.2
Belgium,someeasy,25.8
Belgium,easy,29
Belgium,veryeasy,6.4
Bulgaria,veryhard,28.9
Bulgaria,hard,32.8
Bulgaria,somehard,28.5
Bulgaria,someeasy,7.3
Bulgaria,easy,2.1
Bulgaria,veryeasy,0.3
Czechia,veryhard,7.1
Czechia,hard,16.1
Czechia,somehard,35.7
Czechia,someeasy,30.3
Czechia,easy,9.4
Czechia,veryeasy,1.5
Denmark,veryhard,3.2
Denmark,hard,6.8
Denmark,somehard,16.9
Denmark,someeasy,30.7
Denmark,easy,26.2
Denmark,veryeasy,16.1
Germany,veryhard,2.3
Germany,hard,4.6
Germany,somehard,9.6
Germany,someeasy,39.4
Germany,easy,32.2
Germany,veryeasy,12
Estonia,veryhard,4.9
Estonia,hard,10.5
Estonia,somehard,42.1
Estonia,someeasy,29.4
Estonia,easy,11.3
Estonia,veryeasy,1.9
Ireland,veryhard,12
Ireland,hard,15.4
Ireland,somehard,36.7
Ireland,someeasy,25.4
Ireland,easy,7.7
Ireland,veryeasy,2.7
Greece,veryhard,40.6
Greece,hard,36.2
Greece,somehard,17
Greece,someeasy,4.4
Greece,easy,1.5
Greece,veryeasy,0.3
Spain,veryhard,16.6
Spain,hard,19
Spain,somehard,27
Spain,someeasy,25.4
Spain,easy,11.1
Spain,veryeasy,0.9
France,veryhard,4.2
France,hard,15
France,somehard,39.8
France,someeasy,26.8
France,easy,12.2
France,veryeasy,1.9
Croatia,veryhard,20.4
Croatia,hard,31
Croatia,somehard,36.3
Croatia,someeasy,9.1
Croatia,easy,2.8
Croatia,veryeasy,0.4
Italy,veryhard,10.9
Italy,hard,22.4
Italy,somehard,41.4
Italy,someeasy,20.5
Italy,easy,4.4
Italy,veryeasy,0.3
Cyprus,veryhard,29.4
Cyprus,hard,30.4
Cyprus,somehard,25.2
Cyprus,someeasy,10.5
Cyprus,easy,3.8
Cyprus,veryeasy,0.7
Latvia,veryhard,12.4
Latvia,hard,26.9
Latvia,somehard,38.7
Latvia,someeasy,16.5
Latvia,easy,4.6
Latvia,veryeasy,0.9
Lithuania,veryhard,6.9
Lithuania,hard,22.7
Lithuania,somehard,50.4
Lithuania,someeasy,16.3
Lithuania,easy,3.4
Lithuania,veryeasy,0.3
Luxembourg,veryhard,4.2
Luxembourg,hard,8.2
Luxembourg,somehard,16.7
Luxembourg,someeasy,32.4
Luxembourg,easy,29.9
Luxembourg,veryeasy,8.6
Hungary,veryhard,17.1
Hungary,hard,25.7
Hungary,somehard,38.1
Hungary,someeasy,15.6
Hungary,easy,3.1
Hungary,veryeasy,0.4
Malta,veryhard,6.7
Malta,hard,13.2
Malta,somehard,24.6
Malta,someeasy,40.3
Malta,easy,13.5
Malta,veryeasy,1.6
Netherlands,veryhard,3
Netherlands,hard,9.6
Netherlands,somehard,15.1
Netherlands,someeasy,19.2
Netherlands,easy,41.1
Netherlands,veryeasy,12
Austria,veryhard,4.3
Austria,hard,8.5
Austria,somehard,26.1
Austria,someeasy,29.7
Austria,easy,21.4
Austria,veryeasy,9.9
Poland,veryhard,8.1
Poland,hard,16.4
Poland,somehard,38.2
Poland,someeasy,26.5
Poland,easy.8.3
Poland,veryeasy,2.2
Portugal,veryhard,17
Portugal,hard,19.7
Portugal,somehard,34.5
Portugal,someeasy,21.3
Portugal,easy,7
Portugal,veryeasy,0.5
Romania,veryhard,18.1
Romania,hard,26
Romania,somehard,40.9
Romania,someeasy,11.7
Romania,easy,2.6
Romania,veryeasy,0.7
Slovenia,veryhard,8
Slovenia,hard,17.9
Slovenia,somehard,37.2
Slovenia,someeasy.22.8
Slovenia,easy,12.2
Slovenia,veryeasy,1.8
Slovakia,veryhard,10.1
Slovakia,hard,19.5
Slovakia,somehard,41.3
Slovakia,someeasy,23.6
Slovakia,easy,4.7
Slovakia,veryeasy,0.7
Finland,veryhard,2.3
Finland,hard,4.6
Finland,somehard,17.6
Finland,someeasy,32.8
Finland,easy,25.8
Finland,veryeasy,16.9
Sweden,veryhard,3.1
Sweden,hard,4.5
Sweden,somehard,11.1
Sweden,someeasy,33.1
Sweden,easy,26.1
Sweden,veryeasy,22.1
United Kingdom,veryhard,6.8
United Kingdom,hard,9.5
United Kingdom,somehard,24.3
United Kingdom,someeasy,32.9
United Kingdom,easy,16.5
United Kingdom,veryeasy,10
Iceland,veryhard,6.2
Iceland,hard,7.9
Iceland,somehard,20.9
Iceland,someeasy,34.9
Iceland,easy,15.7
Iceland,veryeasy,14.3
Norway,veryhard,2
Norway,hard,3.4
Norway,somehard,8.7
Norway,someeasy,29.8
Norway,easy,33.9
Norway,veryeasy,22.2
Switzerland,veryhard,3.7
Switzerland,hard,8.9
Switzerland,somehard,16.5
Switzerland,someeasy,29
Switzerland,easy,30
Switzerland,veryeasy,11.9
Turkey,veryhard,6.8
Turkey,hard,26.3
Turkey,somehard,36.1
Turkey,someeasy,20.2
Turkey,easy,10.1
Turkey,veryeasy,0.5
